"","OutsideTemp","Wind","TankTemp","InsideTemp","EnergyCirculationPump","GreenEnergy","DeltaTemp"
"1",6.75,4.75,47.92329365,18.80452838,0,0,-0.90220096
"2",6.6,4.5,49.11975364,18.36271691,0,0,-0.44181147
"3",6.45,4.25,50.23336144,18.12580862,0,0,-0.23690829
"4",6.3,4,51.32419383,17.77049062,0,0,-0.355318
"5",6.425,3.5,52.46934581,17.60129743,0,0,-0.16919319
"6",6.55,3,53.45007802,17.57106904,0,0,-0.03022839
"7",6.675,2.5,54.1421559,17.57701199,0,0,0.00594295
"8",6.8,2,54.54782045,17.57142901,0,0,-0.00558298
"9",6.925,2.25,54.76445804,17.54837226,0,0,-0.02305675
"10",7.05,2.5,54.87644785,17.51723992,0,0,-0.03113234
"11",7.175,2.75,54.93362928,17.48925207,0,0,-0.02798785
"12",7.3,3,54.96268461,17.46516524,0,0,-0.02408683
"13",7.05,2.5,54.98040579,17.43632569,0,0,-0.02883955
"14",6.8,2,54.99676706,17.39763708,0,0,-0.03868861
"15",6.55,1.5,55.0017411,17.35466854,0,0,-0.04296854
"16",6.3,1,54.99667088,17.30976793,0,0,-0.04490061
"17",6.275,0.75,54.99159872,17.27391456,0,0,-0.03585337
"18",6.25,0.5,54.98652501,17.24507398,0,0,-0.02884058
"19",6.225,0.25,54.98145051,17.21913929,0,0,-0.02593469
"20",6.2,0,54.97637563,17.19373344,0,0,-0.02540585
"21",5.95,0.5,54.97130041,17.15858849,0,0,-0.03514495
"22",5.7,1,54.9662239,17.11024236,0,0,-0.04834613
"23",5.45,1.5,54.9611453,17.05384338,0,0,-0.05639898
"24",5.2,2,54.95606435,16.99778125,0,0,-0.05606213
"25",5.325,2.5,54.95098009,16.95686145,0,0,-0.0409198
"26",5.45,3,54.94589224,16.92710496,0,0,-0.02975649
"27",5.575,3.5,54.94080128,16.90572532,0,0,-0.02137964
"28",5.7,4,54.935708,16.88688083,0,0,-0.01884449
"29",8.9,10.5,54.30663478,17.67775523,0,0,-0.59881476
"30",8.5,11,54.81645711,16.88157804,0,0,-0.49903454
"31",8.25,10,54.94729054,16.54303642,0,0,-0.06719842
"32",8,9,54.98697577,16.52271759,0,0,-0.01647794
"33",7.9,9,55.00864622,16.44180886,0,0,-0.04456775
"34",7.8,9,54.99834984,16.36967529,0,0,-0.03281472
"35",7.65,9.5,54.98805078,16.30617135,0,0,-0.03391285
"36",7.5,10,54.97774704,16.23500394,0,0,-0.03598958
"37",7.4,10,54.96743738,16.17139677,0,0,-0.03016682
"38",7.3,10,54.95712316,16.11374264,0,0,-0.02867785
"39",7.3,10,54.94680517,16.0696705,0,0,-0.02149452
"40",7.3,10,54.93648789,16.02563063,0,0,-0.02086562
"41",7,9,54.92617219,15.97903016,0,0,-0.02593241
"42",6.7,8,54.91584798,15.92255277,0,0,-0.02780396
"43",7.25,8,46.23446592,18.07232333,0,0,-0.5320847
"44",7.3,7,48.45609663,17.38698805,0,0,-0.40745755
"45",7.3,7,50.71734008,17.14874622,0,0,-0.04289031
"46",7.3,7,52.87055113,17.11386734,0,0,-0.02469623
"47",7.35,6.5,54.33233951,17.03827044,0,0,-0.03878185
"48",7.4,6,54.81836156,16.9807085,0,0,-0.02617862
"49",7.25,5.5,54.94760638,16.92207087,0,0,-0.03238927
"50",7.1,5,54.98708912,16.85655827,0,0,-0.03233391
"51",7.05,5,55.00877085,16.79535229,0,0,-0.02963771
"52",7,5,54.99851091,16.73453223,0,0,-0.03079245
"53",7.15,5,54.98824939,16.69074618,0,0,-0.02003486
"54",7.3,5,54.97798895,16.6554433,0,0,-0.01612295
"55",7.55,5,54.96773068,16.62968345,0,0,-0.01354764
"56",7.8,5,54.95747593,16.60573988,0,0,-0.01050821
"57",-1.75,0.5,54.29962695,17.22961881,0,0,-0.82958516
"58",-2,0,54.81453839,16.61300126,0,0,-0.20735378
"59",-2.1,0.5,54.94667764,16.22501308,0,0,-0.15778674
"60",-2.2,1,54.98644714,16.07712272,0,0,-0.06074905
"61",-2.1,1.5,55.00794025,15.96607711,0,0,-0.05613566
"62",-2,2,54.99739997,15.86504017,0,0,-0.04842278
"63",-1.5,2,54.98685342,15.80819905,0,0,-0.02397042
"64",-1,2,54.97630721,15.77263957,0,0,-0.01731237
"65",-1,1.5,54.96576444,15.71672712,0,0,-0.03129023
"66",-1,1,54.95521934,15.64697744,0,0,-0.03526004
"67",-1.5,0.5,54.94466841,15.55127069,0,0,-0.05366284
"68",6.05,6.5,45.68587455,17.96046531,0,0,-0.57956407
"69",6,6,47.91056097,17.27700406,0,0,-0.40885296
"70",6,5.5,50.17479823,17.04636455,0,0,-0.03928296
"71",6,5,52.35698083,17.00914758,0,0,-0.02681129
"72",6,7,54.06808462,16.90534063,0,0,-0.05651243
"73",6,9,54.74254332,16.80491579,0,0,-0.04792812
"74",6,8,54.92774428,16.7367024,0,0,-0.03192523
"75",6,7,54.97832274,16.68207757,0,0,-0.02657212
"76",5.9,8,54.99940661,16.60912047,0,0,-0.03906725
"77",5.8,9,54.9889944,16.52326573,0,0,-0.04343954
"78",5.95,8.5,54.97857529,16.4692606,0,0,-0.02288918
"79",6.1,8,54.96815605,16.43202689,0,0,-0.01702347
"80",6.1,7.5,54.95773935,16.39063564,0,0,-0.0235486
"81",6.1,7,54.94732289,16.34233391,0,0,-0.02289822
"82",5.45,5,54.30992005,17.90811606,0,0,-0.55876952
"83",5.4,4,54.81727308,17.24297997,0,0,-0.40679419
"84",5.05,3.5,54.9474775,17.00025858,0,0,-0.04735583
"85",4.7,3,54.98706752,16.94477471,0,0,-0.03708317
"86",5.1,2.5,55.00871608,16.8783705,0,0,-0.02817857
"87",5.5,2,54.99837766,16.85078044,0,0,-0.01123264
"88",6.05,3.5,54.98804792,16.8230337,0,0,-0.01627276
"89",6.6,5,54.97772306,16.78876463,0,0,-0.01717916
"90",7.2,4.5,54.96740219,16.7803614,0,0,-0.00055558
"91",7.8,4,54.95709043,16.78682915,0,0,0.00375844
"92",7.85,3.5,54.94678918,16.77152693,0,0,-0.0125028
"93",7.9,3,54.93649527,16.73540557,0,0,-0.01751593
"94",7.75,3.5,54.92620502,16.6854616,0,0,-0.02848648
"95",7.6,4,54.91590728,16.62765306,0,0,-0.02866321
"96",10.4,13,54.39681353,18.01717348,0,0,-0.50975873
"97",10.3,13,54.83966986,17.36685078,0,0,-0.40793158
"98",10.3,13,54.9533155,17.09078616,0,0,-0.05391306
"99",10.3,13,54.99088161,17.07888326,0,0,-0.010865
"100",10.35,13,55.012908,17.01835048,0,0,-0.03380933
"101",10.4,13,55.00274405,16.96596287,0,0,-0.02324774
"102",10,13,54.99258054,16.9033592,0,0,-0.03651352
"103",9.6,13,54.98241216,16.81982575,0,0,-0.04262779
"104",9.55,13,54.97223612,16.75623332,0,0,-0.02796283
"105",9.5,13,54.96205619,16.70757773,0,0,-0.02398033
"106",9.55,12.5,54.95187449,16.67462858,0,0,-0.01560815
"107",9.6,12,54.94169592,16.64356468,0,0,-0.01424855
"108",9.3,12,54.93152114,16.59978602,0,0,-0.02636547
"109",9,12,54.92133771,16.53752545,0,0,-0.0310215
"110",6.15,11.5,46.24291839,18.04526834,0,0,-0.5681878
"111",6.2,13,48.46456655,17.38697982,0,0,-0.39035012
"112",6.7,12,50.72577751,17.20103474,0,0,-0.01563479
"113",7.2,11,52.87781361,17.21725858,0,0,0.00053938
"114",7.45,12,54.33504341,17.1615783,0,0,-0.03359979
"115",7.7,13,54.81911523,17.10517345,0,0,-0.02587932
"116",7.95,13.5,54.94782667,17.0622596,0,0,-0.0222066
"117",8.2,14,54.98726056,17.0215435,0,0,-0.01976762
"118",8.5,14,55.00898697,16.98983203,0,0,-0.01411893
"119",8.8,14,54.9987872,16.96237656,0,0,-0.01389521
"120",9.05,14.5,54.9885931,16.93674766,0,0,-0.01348994
"121",9.3,15,54.97840376,16.90951366,0,0,-0.01228849
"122",9.1,13,54.96821708,16.87576855,0,0,-0.02018229
"123",8.9,11,54.95803154,16.83240969,0,0,-0.02054443
"124",0.3,4,54.28957381,17.19372374,0,0,-0.83265399
"125",0,4,54.81193185,16.52002599,0,0,-0.22767732
"126",-0.05,4,54.94598249,16.12262643,0,0,-0.15714087
"127",-0.1,4,54.98597824,15.994204,0,0,-0.04893244
"128",-0.2,4,55.00741641,15.89536283,0,0,-0.05249477
"129",-0.3,4,54.99683923,15.79455399,0,0,-0.04862402
"130",-0.15,4,54.9862553,15.71980298,0,0,-0.03593033
"131",0,4,54.97566744,15.65150562,0,0,-0.03429784
"132",-0.05,4,54.96507688,15.57330783,0,0,-0.04017754
"133",-0.1,4,54.95448051,15.49149524,0,0,-0.04070009
"134",-0.45,4.5,54.94387614,15.39159244,0,0,-0.05489893
"135",4.5,2.5,44.67457376,17.8190121,0,0,-0.65030449
"136",4.3,2,46.90652384,17.04893047,0,0,-0.46012124
"137",4.35,2,49.17637828,16.7908907,0,0,-0.04394209
"138",4.4,2,51.36403632,16.74998426,0,0,-0.02933126
"139",4.4,2,53.42345754,16.65575784,0,0,-0.0491989
"140",4.4,2,54.53636376,16.57557869,0,0,-0.03753257
"141",4.6,2,54.8731272,16.51489021,0,0,-0.03009766
"142",4.8,2,54.96162504,16.46083686,0,0,-0.02629665
"143",4.95,2.5,54.99586318,16.40281884,0,0,-0.02940908
"144",5.1,3,54.99542278,16.34059301,0,0,-0.0314341
"145",5.25,3,54.98492133,16.29039264,0,0,-0.024105
"146",5.4,3,54.97442049,16.24503094,0,0,-0.02124662
"147",5.5,3,54.96392012,16.20120568,0,0,-0.02384841
"148",5.6,3,54.95341953,16.15373475,0,0,-0.02246566
"149",1.15,3.5,54.18061451,17.03033921,0,0,-0.83113016
"150",2,4,54.78386279,16.14593262,0,0,-0.53190057
"151",2.4,4,54.93869325,15.89828007,0,0,-0.02110833
"152",2.8,4,54.98173218,15.90203584,0,0,-0.01082794
"153",3.3,4,55.00280424,15.84625821,0,0,-0.02894981
"154",3.8,4,54.99210816,15.80877723,0,0,-0.01573979
"155",4.3,4,54.98141986,15.78440381,0,0,-0.0132287
"156",4.8,4,54.97073881,15.75851674,0,0,-0.01296488
"157",4.8,4,54.96006445,15.70970889,0,0,-0.02784769
"158",4.8,4,54.9493912,15.64651446,0,0,-0.0318062
"159",4.7,3.5,54.93871544,15.59020927,0,0,-0.02854385
"160",4.6,3,54.92804076,15.52981505,0,0,-0.0291871
"161",4.7,3.5,54.91736716,15.47884085,0,0,-0.02613292
"162",4.8,4,54.90668677,15.42628882,0,0,-0.02561669
"163",3.15,5,43.77117725,17.55654426,0,0,-0.73910489
"164",3.2,5,46.0074535,16.69263382,0,0,-0.51194611
"165",3.1,5,48.28228335,16.41694919,0,0,-0.04536501
"166",3,5,50.47481859,16.3638346,0,0,-0.03763368
"167",2.95,5.5,52.65117687,16.25167601,0,0,-0.0577929
"168",2.9,6,54.23605412,16.15539537,0,0,-0.04558908
"169",2.9,5.5,54.79131541,16.08119239,0,0,-0.03656585
"170",2.9,5,54.94038024,16.01428969,0,0,-0.03278691
"171",2.8,5.5,54.98226054,15.93389648,0,0,-0.04194769
"172",2.7,6,55.00338144,15.84429236,0,0,-0.04520268
"173",2.8,5,54.99275068,15.78798029,0,0,-0.02388034
"174",2.9,4,54.98212029,15.7489626,0,0,-0.01790775
"175",2.7,5,54.97149178,15.67662532,0,0,-0.04353207
"176",2.5,6,54.96085604,15.57970857,0,0,-0.04755572
"177",6.45,1,54.23692161,17.51258423,0,0,-0.63837186
"178",6.4,0,54.79846981,16.69396887,0,0,-0.513622
"179",6.45,0.5,54.94258759,16.35874237,0,0,-0.06260902
"180",6.5,1,54.98389058,16.34613438,0,0,-0.01303112
"181",6.45,1,55.00524796,16.26867622,0,0,-0.04344217
"182",6.4,1,54.99479424,16.19735229,0,0,-0.03250411
"183",6.45,1.5,54.98433818,16.14183128,0,0,-0.02880316
"184",6.5,2,54.97387922,16.08337214,0,0,-0.02957479
"185",6.35,1.5,54.96341706,16.02467531,0,0,-0.02893831
"186",6.2,1,54.95295143,15.96765144,0,0,-0.02843663
"187",6.25,2,54.94248192,15.91608681,0,0,-0.02650876
"188",6.3,3,54.93201104,15.85936785,0,0,-0.02731208
"189",6.3,3.5,54.92153867,15.81201455,0,0,-0.02431686
"190",6.3,4,54.91105712,15.76263942,0,0,-0.02411467
"191",6.25,3,46.89557813,18.07713525,0,0,-0.54450583
"192",6.1,3,49.11340561,17.35359289,0,0,-0.42916331
"193",6.15,3,51.37085471,17.10127789,0,0,-0.04535166
"194",6.2,3,53.4305441,17.06862409,0,0,-0.02365949
"195",5.9,3,54.53897556,16.96873779,0,0,-0.05495712
"196",5.6,3,54.87388914,16.87117953,0,0,-0.04647744
"197",5.3,2,54.96187971,16.79198687,0,0,-0.03967383
"198",5,1,54.99608803,16.71742492,0,0,-0.03669467
"199",5.05,1.5,54.99573875,16.6489157,0,0,-0.0330352
"200",5.1,2,54.98533152,16.58234493,0,0,-0.03369809
"201",5.05,2,54.97492127,16.52201843,0,0,-0.03000958
"202",5,2,54.96450825,16.46358971,0,0,-0.02790349
"203",5.05,2,54.95409183,16.41341549,0,0,-0.02590747
"204",5.1,2,54.943673,16.36394374,0,0,-0.02342747
"205",9.4,7.75,53.74481515,18.44478411,0,0,-1.28102393
"206",9.4,7.5,54.36031108,17.92437999,0,0,-0.52040412
"207",9.4,7.25,54.6722043,17.67544372,0,0,-0.24893627
"208",9.4,7,54.83021714,17.2596454,0,0,-0.41579832
"209",9.4,7,54.9102619,17.02083099,0,0,-0.23881441
"210",9.4,7,54.95080766,16.94963619,0,0,-0.0711948
"211",9.4,7,54.97276652,16.94234522,0,0,-0.00729097
"212",9.4,7,54.98919463,16.93321949,0,0,-0.00912573
"213",9.425,7,55.00592707,16.90842065,0,0,-0.02479884
"214",9.45,7,55.01101253,16.87555184,0,0,-0.03286881
"215",9.475,7,55.00585512,16.84675241,0,0,-0.02879943
"216",9.5,7,55.00069787,16.82314345,0,0,-0.02360896
"217",9.5,7,54.99554091,16.80369528,0,0,-0.01944817
"218",9.5,7,54.99038414,16.78199324,0,0,-0.02170204
"219",9.5,7,54.98522736,16.75949145,0,0,-0.02250179
"220",9.5,7,54.98007045,16.73587562,0,0,-0.02361583
"221",9.475,7,54.97491337,16.71395659,0,0,-0.02191903
"222",9.45,7,54.96975607,16.69237568,0,0,-0.02158091
"223",9.425,7,54.96459844,16.6705685,0,0,-0.02180718
"224",9.4,7,54.95944039,16.64889807,0,0,-0.02167043
"225",9.4,6.75,54.95428187,16.63170122,0,0,-0.01719685
"226",9.4,6.5,54.94912301,16.61542217,0,0,-0.01627905
"227",9.4,6.25,54.94396502,16.59831404,0,0,-0.01710813
"228",9.4,6,54.93880898,16.58350039,0,0,-0.01481365
"229",9.375,6.25,54.93365431,16.56748185,0,0,-0.01601854
"230",9.35,6.5,54.92849954,16.54714156,0,0,-0.02034029
"231",9.325,6.75,54.92334287,16.52786438,0,0,-0.01927718
"232",9.3,7,54.91818363,16.50978755,0,0,-0.01807683
"233",8.35,9.5,49.61033374,18.49416484,0,0,-0.49753007
"234",8,10,51.81186088,17.78238872,0,0,-0.4249043
"235",7.9,9.5,53.79407953,17.53004028,0,0,-0.04392814
"236",7.8,9,54.66372747,17.50223397,0,0,-0.02220758
"237",7.65,9,54.90726784,17.4151005,0,0,-0.04723287
"238",7.5,9,54.97176056,17.33384743,0,0,-0.03808724
"239",7.4,10,55.00482505,17.26024231,0,0,-0.03866159
"240",7.3,11,55.00480137,17.18078172,0,0,-0.04006473
"241",7.5,11,54.99454891,17.1266216,0,0,-0.02266419
"242",7.7,11,54.98429575,17.08963485,0,0,-0.01808479
"243",7.7,11.5,54.9740448,17.04677174,0,0,-0.02407785
"244",7.7,12,54.96379573,16.99160385,0,0,-0.02660593
"245",7.65,12.5,54.95354663,16.94141519,0,0,-0.02647826
"246",7.6,13,54.94328867,16.88626796,0,0,-0.02705917
"247",1.2,7,52.47387679,18.31558414,0,0,-0.48402797
"248",0.9,6,54.17937946,17.8157055,0,0,-0.29597461
"249",0.8,6.5,54.77636491,17.61571701,0,0,-0.05207937
"250",0.7,7,54.93666971,17.52003439,0,0,-0.05488486
"251",0.7,6.5,54.98131194,17.41188077,0,0,-0.0517157
"252",0.7,6,55.00260305,17.32773506,0,0,-0.04043697
"253",0.45,6.5,54.99232054,17.22028498,0,0,-0.05936644
"254",0.2,7,54.98202748,17.09756744,0,0,-0.06101684
"255",0.05,7,54.97171994,16.98914402,0,0,-0.05182866
"256",-0.1,7,54.96140131,16.88568164,0,0,-0.05213973
"257",0,6.5,54.95107383,16.8096359,0,0,-0.03469526
"258",0.1,6,54.94074245,16.7468736,0,0,-0.0299092
"259",0.05,5.5,54.93040913,16.67861028,0,0,-0.03705652
"260",0,5,54.92007123,16.60381287,0,0,-0.03609538
"261",5.55,2,54.4640761,18.20005853,0,0,-0.5139022
"262",5.3,1,54.85698861,17.63811949,0,0,-0.33971383
"263",5.05,1.5,54.9578115,17.42558253,0,0,-0.04449871
"264",4.8,2,54.99379027,17.36043776,0,0,-0.0412395
"265",3.7,1.5,54.9936,17.21604273,0,0,-0.07955343
"266",2.6,1,54.98349059,17.05776456,0,0,-0.07791237
"267",3.1,1.5,54.97335203,16.98338117,0,0,-0.02698235
"268",3.6,2,54.96320559,16.94852663,0,0,-0.01719627
"269",3.3,2,54.95306296,16.87696832,0,0,-0.04097471
"270",3,2,54.94291319,16.78648996,0,0,-0.04530283
"271",3.15,2.5,54.93275008,16.72282478,0,0,-0.02942109
"272",3.3,3,54.92258272,16.66596659,0,0,-0.02731203
"273",3.8,3,54.91241538,16.64031149,0,0,-0.00999303
"274",4.3,3,54.90224567,16.62714907,0,0,-0.00562698
"275",8.3,3.5,49.9257646,18.58949531,0,0,-0.41342732
"276",8.2,4,52.12601867,18.04168528,0,0,-0.32885285
"277",8.1,4,53.97402011,17.82405831,0,0,-0.04761513
"278",8,4,54.71615674,17.77553893,0,0,-0.02973256
"279",7.9,4.5,54.92107373,17.68529928,0,0,-0.04756642
"280",7.8,5,54.97636994,17.60488459,0,0,-0.03803482
"281",7.6,5,54.99758012,17.53081511,0,0,-0.03877764
"282",7.4,5,54.98752445,17.45467072,0,0,-0.0376665
"283",7.25,5,54.97746313,17.38282392,0,0,-0.03492297
"284",7.1,5,54.96739626,17.31151341,0,0,-0.03605303
"285",7,5,54.9573243,17.24919558,0,0,-0.03061453
"286",6.9,5,54.94724802,17.18963419,0,0,-0.02846091
"287",6.75,5,54.93716682,17.13084562,0,0,-0.03143539
"288",6.6,5,54.92707993,17.06753081,0,0,-0.03048846
"289",7.6,1,54.99511712,20.79053135,0,0.574316853055556,0.15713677
"290",8.725,1.25,54.9904277,20.89820716,0,0.655513091388889,0.10767581
"291",9.85,1.5,54.98575388,21.04060075,0,0.736401628611111,0.14239359
"292",10.975,1.75,54.98109929,21.17658611,0,0.793149749722222,0.13598536
"293",12.1,2,54.97648103,21.3817853,0,0.847208877222222,0.20519919
"294",12.55,2.25,54.97189545,21.52881051,0,0.903112940555556,0.14702521
"295",13,2.5,54.96744926,21.60125044,0,0.956177511111111,0.07243993
"296",13.45,2.75,54.96398794,21.71733863,0,0.995213626944444,0.11608819
"297",13.9,3,54.96093817,21.81776627,0,1.03098039361111,0.10042764
"298",14.55,3.25,54.95815533,22.47682641,0,1.06170154388889,0.65906014
"299",15.2,3.5,54.95551232,23.05430278,0,1.08896473277778,0.57747637
"300",15.85,3.75,54.95297984,23.33293901,0,1.10574172388889,0.27863623
"301",16.5,4,54.95055283,23.53788937,0,1.1192153275,0.20495036
"302",16.55,4.25,54.94821059,23.69560319,0,1.13498370861111,0.15771382
"303",16.6,4.5,54.94594124,23.81746579,0,1.14767250611111,0.1218626
"304",16.65,4.75,54.94373806,23.93507764,0,1.15125017166667,0.11761185
"305",16.7,5,54.94159132,24.05847379,0,1.15180209388889,0.12339615
"306",16.825,4.75,54.93948556,24.1939871,0,1.14861947083333,0.13551331
"307",16.95,4.5,54.93741086,24.34480358,0,1.14238950055556,0.15081648
"308",17.075,4.25,54.93535772,24.50320022,0,1.12636167666667,0.15839664
"309",17.2,4,54.93330786,24.66585781,0,1.10719172972222,0.16265759
"310",17.325,4,54.84512938,25.83125629,0,0.734934663333333,0.07293305
"311",17.15,4,54.84111227,25.89813679,0,0.674050456666667,0.0668805
"312",16.975,4,54.8370852,25.94934833,0,0.603792091111111,0.05121154
"313",9.025,2.25,54.9976915,21.66620267,0,0.673755388055556,0.13198358
"314",9.65,2.5,54.99314416,21.76706479,0,0.755348373055556,0.10086212
"315",10.275,2.75,54.98860075,21.86371629,0,0.815491506666667,0.0966515
"316",10.9,3,54.98406766,21.95311532,0,0.873271318333333,0.08939903
"317",11.65,3,54.97955206,22.07953677,0,0.927352012222222,0.12642145
"318",12.4,3,54.97556114,22.22292772,0,0.978219050833333,0.14339095
"319",13.15,3,54.97288461,22.33500066,0,1.01480089805556,0.11207294
"320",13.9,3,54.96999011,22.46633779,0,1.04789788916667,0.13133713
"321",14.375,3.25,54.96742573,23.19123192,0,1.07987355388889,0.72489413
"322",14.85,3.5,54.964944,23.5121041,0,1.10844682638889,0.32087218
"323",15.325,3.75,54.96258369,23.93184591,0,1.12003296555556,0.41974181
"324",15.8,4,54.96032485,24.16964332,0,1.13389936305556,0.23779741
"325",16.1,4,54.9581421,24.33526124,0,1.1461351,0.16561792
"326",16.4,4,54.95603111,24.48330673,0,1.15519026305556,0.14804549
"327",16.7,4,54.95398324,24.62888804,0,1.15446963777778,0.14558131
"328",17,4,54.95198585,24.77687849,0,1.1506844025,0.14799045
"329",17.175,4,54.95002483,24.93095807,0,1.15124346722222,0.15407958
"330",17.35,4,54.94809792,25.09058415,0,1.14268173138889,0.15962608
"331",17.525,4,54.9461954,25.24930341,0,1.12520596166667,0.15871926
"332",17.7,4,54.94429358,25.4118046,0,1.10460194833333,0.16250119
"333",18.575,3,54.88685621,26.64986885,0,0.725563505,0.08222938
"334",18.55,3,54.88308244,26.7181632,0,0.664670303611111,0.06829435
"335",18.525,3,54.87930022,26.77364148,0,0.594175411111111,0.05547828
"336",8.4,4.75,54.99442518,21.85041858,0,0.269179719888889,0.03697574
"337",8.9,4.5,54.98988867,21.89233227,0,0.311312024444444,0.04191369
"338",9.4,4.25,54.98535709,21.92418926,0,0.335795118611111,0.03185699
"339",9.9,4,54.9808342,21.96425873,0,0.359487611111111,0.04006947
"340",10.325,4.25,54.97631916,22.00074799,0,0.382625319166667,0.03648926
"341",10.75,4.5,54.97181624,22.03052772,0,0.404990115833333,0.02977973
"342",11.175,4.75,54.96732857,22.06764427,0,0.42110531,0.03711655
"343",11.6,5,54.96284571,22.09025406,0,0.41894015,0.02260979
"344",12.125,5,54.95836907,22.12879528,0,0.431911873888889,0.03854122
"345",12.65,5,54.95389832,22.17621132,0,0.4441280875,0.04741604
"346",13.175,5,54.94943378,22.23200287,0,0.47809466,0.05579155
"347",13.7,5,54.9449813,22.29332438,0,0.531257610277778,0.06132151
"348",14.125,5,54.94054454,22.80248264,0,0.565014621388889,0.50915826
"349",14.55,5,54.93615024,23.26536326,0,0.5958643675,0.46288062
"350",14.975,5,54.93206213,23.39491931,0,0.637648654444444,0.12955605
"351",15.4,5,54.92836198,23.51750099,0,0.675583384444444,0.12258168
"352",15.775,5.25,54.92477773,23.6426767,0,0.729955966944445,0.12517571
"353",16.15,5.5,54.92137432,23.82733731,0,0.762632564166667,0.18466061
"354",16.525,5.75,54.9180835,23.91792229,0,0.748581096388889,0.09058498
"355",16.9,6,54.91483673,24.07249453,0,0.733161868611111,0.15457224
"356",17.275,6.75,54.8015071,24.93484689,0,0.601871156111111,0.09570662
"357",17.15,6.5,54.79725353,25.01694339,0,0.579850792222222,0.0820965
"358",17.025,6.25,54.79299494,25.07593689,0,0.522518505277778,0.0589935
"359",7.975,6.5,54.81370085,21.40226055,0,0,-0.42206445
"360",7.95,6,54.90222722,21.295755,0,0,-0.10650555
"361",9.7,7,54.91207552,20.89068531,0,0.220459650111111,-0.00260131
"362",9.825,6.75,54.90738146,20.88435999,0,0.221455250166667,-0.00632532
"363",9.95,6.5,54.90268813,20.88326455,0,0.222453349083333,-0.00109544
"364",10.075,6.25,54.89799554,20.88457102,0,0.237432734,0.00130647
"365",10.2,6,54.89330527,20.88838616,0,0.252462911888889,0.00381514
"366",10.325,6.25,54.88861787,20.89124056,0,0.267481706944444,0.0028544
"367",10.45,6.5,54.88393123,20.89251887,0,0.282434132222222,0.00127831
"368",10.575,6.75,54.87924987,20.89420451,0,0.286214317222222,0.00168564
"369",10.7,7,54.87456829,20.89447251,0,0.290000056111111,0.000268
"370",11.1,6,54.26359902,20.83694372,0,0.185275109861111,-0.01241769
"371",11.2,6,54.62759203,20.82260242,0,0.171320042222222,-0.0143413
"372",11.3,6,54.80881129,20.80895392,0,0.158534754666667,-0.0136485
